,math_placement_score,hsgpa,NonTC,Mix,APOnly,STEM,NONSTEM,Female,Male,Caucasian,Black,Multirace,Hispanic,AsiPac,Asian,Native,HawaiiPac,Other,8 or less,10 or less,12 or less
79,-0.3049222462512574,0.503512594709222,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
81,0.053547242115559314,1.2810030239908956,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
82,1.1289557072160092,0.8404251140646133,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
83,1.666659939766234,1.3587520669190623,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
84,0.591251474665784,0.8041422273648025,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
86,-1.5595654555351153,-0.10292994013048166,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
87,2.025129428133051,0.06293468478294088,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
88,-2.276504432268749,-0.23769494787263956,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
89,0.4120167304823758,0.495737690416405,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
90,1.1289557072160092,1.2291703287054507,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
91,-1.5595654555351153,0.7108433758510017,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
94,0.053547242115559314,0.06811795431148479,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
97,0.949720963032601,0.9622319479854091,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
100,-0.12568750206784893,0.3998472041383322,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
102,0.23278198629896754,1.1514212857772828,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
105,-0.6633917346180739,-0.14439609635883874,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
106,1.8458946839496422,0.6590106805655567,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
109,-0.12568750206784893,-0.06923868819494391,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
110,-0.6633917346180739,0.011101989497495975,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
111,-0.48415699043466537,-2.9433616417728614,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
112,0.7704862188491928,-0.6756812230346487,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
113,1.3081904513994176,-0.9478028732832342,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
114,-0.48415699043466537,0.495737690416405,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
119,-0.6633917346180739,-0.8259960393624384,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
120,-0.6633917346180739,0.42576355178105524,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
121,-0.12568750206784893,0.3506061436171604,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
122,-1.0218612229848907,0.14845863200392467,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
126,-0.3049222462512574,1.2213954244126337,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
127,0.591251474665784,0.9648235827496823,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
128,-1.7388001997185238,-2.9433616417728614,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
129,0.591251474665784,1.2110288853555446,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
131,-0.6633917346180739,0.06293468478294088,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
132,-0.8426264788014821,-1.517962521423127,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
134,0.053547242115559314,-1.8108172497858916,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
138,0.4120167304823758,0.06293468478294088,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
140,-0.3049222462512574,-1.054059898618396,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
142,-0.3049222462512574,1.1514212857772828,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
146,0.7704862188491928,1.1514212857772828,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
147,-0.12568750206784893,-1.2328826973531806,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
148,-0.48415699043466537,-0.7301055530843656,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
