,math_placement_score,hsgpa,NonTC,Mix,APOnly,STEM,NONSTEM,Female,Male,Caucasian,Black,Multirace,Hispanic,AsiPac,Asian,Native,HawaiiPac,Other,8 or less,10 or less,12 or less
1961,-0.6633917346180739,0.5397954814090329,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
1962,-1.3803307113517072,-2.3939350717471455,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
1966,-0.3049222462512574,0.5994030809872948,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1968,-0.48415699043466537,-1.3728309746238814,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1969,1.1289557072160092,1.3587520669190623,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
1970,1.4874251955828257,1.2991444673408004,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1973,0.591251474665784,0.4050304736668761,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1975,2.5628336606832756,1.3587520669190623,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1976,1.1289557072160092,0.14068372771110765,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1978,-0.3049222462512574,-0.001856184323864964,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1979,-1.3803307113517072,-2.787863555916527,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1982,0.053547242115559314,-0.14439609635883874,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1985,0.053547242115559314,0.2184327706392756,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1986,-0.12568750206784893,-0.3620934165577062,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1987,-0.3049222462512574,0.42576355178105524,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1989,0.7704862188491928,-0.7845298831340825,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
1990,-1.3803307113517072,-2.479459018968129,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
1991,-0.12568750206784893,0.3739308564956103,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
1992,1.666659939766234,-0.33358543415071235,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1993,-0.3049222462512574,-0.29989418221517344,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
1994,0.7704862188491928,0.7600844363721734,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1995,-0.3049222462512574,1.047755895206393,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1996,2.2043641723164593,1.3587520669190623,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
1997,-1.5595654555351153,-1.1603169239535578,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1998,-0.8426264788014821,0.16141680582528678,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2000,-0.12568750206784893,-0.20400369593710066,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2002,-0.12568750206784893,0.8792996355286973,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2004,-1.0218612229848907,1.3328357192763405,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2005,0.7704862188491928,0.11476738006838579,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2008,-0.3049222462512574,0.6382776024513788,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2009,1.8458946839496422,-0.19622879164428364,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2010,2.5628336606832756,1.3587520669190623,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2011,-0.48415699043466537,0.19251642299655256,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2014,0.949720963032601,0.36097268267424937,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2015,-0.48415699043466537,-1.3857891484452423,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2016,1.4874251955828257,1.514250152775396,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2017,-1.0218612229848907,-1.1810500020677357,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2018,0.23278198629896754,1.094405320963294,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2019,-0.6633917346180739,0.7445346277865406,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2020,-0.8426264788014821,-0.08997176630912072,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021,-0.3049222462512574,1.2006623462984545,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2022,-1.2010959671682988,1.3587520669190623,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2023,-0.3049222462512574,-0.48130861571423006,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2024,1.1289557072160092,-1.4142971308522372,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
2025,1.8458946839496422,-1.1033009591395688,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2028,1.1289557072160092,1.2032539810627276,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2029,-0.8426264788014821,-1.2328826973531806,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2031,-1.3803307113517072,-0.17031244400156062,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2032,-0.6633917346180739,-0.9814941252187731,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2033,0.23278198629896754,0.18474151870373554,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2034,-0.3049222462512574,-0.001856184323864964,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2035,-1.0218612229848907,-0.43984245948587414,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2036,0.949720963032601,-0.09515503583766695,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2038,2.025129428133051,-0.17031244400156062,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2042,-1.5595654555351153,-1.8548750407785195,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2043,2.5628336606832756,1.2991444673408004,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2044,0.591251474665784,0.25730729210335956,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2045,-0.12568750206784893,0.495737690416405,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2048,2.025129428133051,-0.36986832085052324,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
2049,-1.5595654555351153,-1.017777011918584,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2052,1.1289557072160092,-0.08219686201630486,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2054,-0.12568750206784893,0.34801450885288726,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2055,-1.0218612229848907,-2.658281817702914,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2057,-0.48415699043466537,0.011101989497495975,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2060,-0.48415699043466537,0.3998472041383322,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2061,-1.2010959671682988,-4.472426152693484,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2062,1.666659939766234,0.3998472041383322,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2063,2.2043641723164593,0.9985148346852212,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2064,0.053547242115559314,0.495737690416405,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2065,0.053547242115559314,-1.2847153926386254,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2066,2.2043641723164593,0.3220981612101654,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2067,-0.48415699043466537,1.3587520669190623,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2068,2.2043641723164593,0.013693624261769084,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2070,-1.3803307113517072,-0.36986832085052324,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2071,-0.12568750206784893,0.8948494441143313,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2072,-1.5595654555351153,-2.171054482019733,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2073,0.7704862188491928,1.4546425531971352,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2074,-1.0218612229848907,-1.9300324489424132,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2076,-0.12568750206784893,0.13550045818256376,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2077,1.1289557072160092,-0.9478028732832342,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2078,-1.3803307113517072,-0.24806148692972854,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2079,1.8458946839496422,0.3972555693740591,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2080,-0.3049222462512574,1.3587520669190623,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2083,0.053547242115559314,0.9440905046355031,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2086,0.949720963032601,1.2550866763481725,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
2088,-0.3049222462512574,-1.7771259978503515,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2089,1.666659939766234,0.9440905046355031,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2093,1.1289557072160092,1.047755895206393,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2094,-0.6633917346180739,-0.04591397531649285,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
2095,-0.3049222462512574,1.6541984300460977,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2096,-0.3049222462512574,-0.3517268775006184,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2098,1.8458946839496422,0.5449787509375791,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2099,-1.3803307113517072,0.23398257922490964,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2100,-0.3049222462512574,-0.3906013989647012,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2102,-1.5595654555351153,-0.37764322514334026,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2104,1.3081904513994176,1.3587520669190623,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2107,0.053547242115559314,-0.19622879164428364,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2108,1.666659939766234,0.4775962470665001,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2109,0.591251474665784,0.45167989942377706,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2110,-0.12568750206784893,-0.0666470534306708,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2111,-0.3049222462512574,0.8145087664218914,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2114,1.1289557072160092,-0.14439609635883874,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2115,0.949720963032601,1.4002182231474183,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2119,-0.3049222462512574,0.8404251140646133,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2120,-0.48415699043466537,0.2935901788031704,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2121,-0.8426264788014821,-1.6734606072794618,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2124,-1.2010959671682988,-0.2713861998081773,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2125,0.7704862188491928,1.2706364849338065,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2126,0.7704862188491928,-1.2873070274028986,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2127,-0.6633917346180739,1.459825822725679,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2128,0.949720963032601,-0.9478028732832342,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
2130,0.7704862188491928,1.527208326596759,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2131,0.591251474665784,-0.14439609635883874,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
2132,2.025129428133051,1.2861862935194395,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2133,0.949720963032601,1.3587520669190623,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2136,0.053547242115559314,0.6875186629725517,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2137,-0.6633917346180739,0.7808175144863514,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
2139,-1.2010959671682988,1.410584762204506,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2140,1.8458946839496422,1.2784113892266225,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
2141,-0.12568750206784893,-0.8182211350696214,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2142,2.383598916499868,0.2702654659247205,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2144,1.8458946839496422,1.3587520669190623,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
2149,0.4120167304823758,-0.37764322514334026,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2150,-1.3803307113517072,-0.5694241976994858,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2151,-1.3803307113517072,-0.44243409425014607,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2152,-1.3803307113517072,-0.7145557444987315,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2153,-0.12568750206784893,-0.9348446994618721,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2154,0.053547242115559314,1.047755895206393,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2155,0.591251474665784,0.609769620044385,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
2156,0.949720963032601,1.021839547563671,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2158,0.053547242115559314,-0.8856036389407003,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2159,-0.48415699043466537,-0.29989418221517344,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2160,-0.12568750206784893,0.037018337140219,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2162,-0.48415699043466537,-0.3206272603293514,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2163,-0.8426264788014821,-0.08219686201630486,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2164,0.053547242115559314,-1.2328826973531806,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
2165,-0.3049222462512574,0.7885924187791684,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2167,-0.8426264788014821,-0.1314379225374778,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2169,1.666659939766234,0.8663414617073363,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2170,-0.48415699043466537,-0.6160736234563868,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2172,0.23278198629896754,1.1902958072413667,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
2175,2.2043641723164593,1.0658973385562989,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2176,2.5628336606832756,-0.3465436079720733,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
2177,-0.3049222462512574,0.6590106805655567,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2180,0.7704862188491928,-1.6423609901081948,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2181,2.2043641723164593,1.3587520669190623,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2183,1.1289557072160092,-0.37764322514334026,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
2185,0.949720963032601,1.3587520669190623,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
2186,0.23278198629896754,-0.36986832085052324,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2187,-1.2010959671682988,-0.3931930337289743,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2188,1.4874251955828257,1.4624174574899522,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2190,-0.3049222462512574,-2.000006587577765,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2193,-0.3049222462512574,0.495737690416405,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2195,-1.9180349439019322,-0.19622879164428364,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2197,-0.8426264788014821,-0.6886393968560097,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2198,-0.8426264788014821,0.08885103242566275,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2199,1.4874251955828257,0.503512594709222,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2200,1.4874251955828257,-3.12736771003619,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
2201,-1.7388001997185238,0.7108433758510017,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2202,-1.0218612229848907,0.08885103242566275,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2203,-0.8426264788014821,-2.4561343060896794,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2205,0.949720963032601,-0.7663884397841765,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2206,0.591251474665784,-1.1810500020677357,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2208,2.025129428133051,0.7419429930222685,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2210,1.1289557072160092,0.7600844363721734,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
2211,-1.5595654555351153,1.1203216686060158,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2213,-0.12568750206784893,-0.36986832085052324,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2214,1.8458946839496422,0.06293468478294088,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2215,-1.3803307113517072,-1.2328826973531806,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2217,0.23278198629896754,0.9181741569927813,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2219,-0.3049222462512574,-0.21177860022991768,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2220,0.053547242115559314,-2.165871212491188,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2221,1.1289557072160092,-1.5231457909516721,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2222,1.1289557072160092,0.11217574530411267,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2223,0.053547242115559314,-0.12366301824466078,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2224,-0.12568750206784893,0.7056601063224577,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2225,2.5628336606832756,2.369489624985236,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
2226,0.23278198629896754,-0.36986832085052324,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2228,0.591251474665784,-0.36986832085052324,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2232,-1.5595654555351153,-0.37764322514334026,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
2233,-0.48415699043466537,0.5942198114587509,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2234,0.949720963032601,0.43353845607387226,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2237,0.4120167304823758,-0.9218865256405112,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2239,-1.5595654555351153,-1.2328826973531806,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2243,-0.48415699043466537,-0.5072249633569531,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2244,-0.6633917346180739,-0.9037450822906063,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2245,-0.8426264788014821,0.0059187199689520595,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2250,-0.12568750206784893,0.41539701272396623,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2252,-0.48415699043466537,-1.3261815488669815,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2254,1.4874251955828257,-0.014814358145225902,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2257,2.5628336606832756,1.2810030239908956,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2258,2.025129428133051,1.3587520669190623,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2262,-1.5595654555351153,-0.04073070578794893,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2263,0.591251474665784,0.7108433758510017,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
2266,-1.9180349439019322,-1.4142971308522372,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
2267,-1.0218612229848907,-0.42947592042878513,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2270,0.7704862188491928,0.2780403702175375,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2272,-0.12568750206784893,0.32987306550298245,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2273,-0.6633917346180739,-0.6575397796847428,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2277,-0.48415699043466537,0.3506061436171604,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
2278,1.8458946839496422,0.06293468478294088,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2279,0.4120167304823758,0.7367597234937235,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
2280,2.383598916499868,-0.19622879164428364,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2282,-0.48415699043466537,-0.5849740062851199,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2284,-0.6633917346180739,0.4413133603666893,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2285,0.053547242115559314,1.2628615806409895,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2288,-1.2010959671682988,-0.5694241976994858,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2289,-0.8426264788014821,-0.2791611041009943,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2290,-1.5595654555351153,-0.491675154771319,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2291,-0.48415699043466537,-0.27397783457245045,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2296,2.025129428133051,1.7682303596740776,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2298,-0.12568750206784893,1.3587520669190623,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2299,0.7704862188491928,-0.36986832085052324,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
2300,-1.5595654555351153,-0.8700538303550662,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2301,1.8458946839496422,1.3587520669190623,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2302,-1.9180349439019322,-0.7301055530843656,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2304,1.666659939766234,-2.580532774774747,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2305,-0.8426264788014821,-0.18845388735146662,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2306,-1.2010959671682988,0.2184327706392756,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
2308,0.7704862188491928,-0.47353371142141304,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2310,-0.48415699043466537,-0.579790736756576,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
2312,-0.3049222462512574,-0.4528006333072351,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2315,-0.48415699043466537,1.1514212857772828,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
2320,1.3081904513994176,1.3587520669190623,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2321,0.053547242115559314,-0.41133447707888027,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
2323,-1.9180349439019322,-3.1766087705573627,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
2324,-1.3803307113517072,-2.095897073855838,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2327,0.053547242115559314,0.9026243484071472,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2332,1.8458946839496422,1.3587520669190623,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2333,-0.3049222462512574,-0.8234044045981664,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2334,-0.8426264788014821,-0.29989418221517344,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2336,-1.0218612229848907,-1.0903427853182068,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
